# time,position_x,position_y
0.000000000000000000e+00,8.107335880231723024e-01,0.000000000000000000e+00
3.892311386382224514e-01,4.053667940115861512e-01,-4.053667940115861512e-01
6.853300928748953247e-01,0.000000000000000000e+00,-4.053667940115861512e-01
1.133603507312006986e+00,-4.053667940115861512e-01,0.000000000000000000e+00
1.759932907407015357e+00,-4.053667940115861512e-01,8.107335880231723024e-01
2.136647841736942333e+00,0.000000000000000000e+00,1.216100382034758454e+00
2.554759951425202402e+00,4.053667940115861512e-01,1.621467176046345493e+00
3.440751802393943848e+00,1.216100382034758454e+00,2.837567558081103947e+00
4.147945777711095516e+00,8.107335880231723024e-01,4.053667940115862400e+00
4.898300867033280603e+00,0.000000000000000000e+00,4.864401528139034703e+00
5.280767098644869151e+00,-4.053667940115861512e-01,5.269768322150620854e+00
5.844875792985761542e+00,-8.107335880231723024e-01,6.080501910173793156e+00
